Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Thumbnail impressions,Thumbnail click-through rate (%)
Total,,,,11,0.0273,1,222,1.35
t7mySEamkKQ,How to multi select shapes without dragging the canvas | FlashFX tutorial,"Mar 30, 2026",11,3,0.0054,0,13,0
vaFUhAt6U5Q,Are You Still Creating Patterns the Hard Way? FlashFX pattern tutorial,"Sep 20, 2026",84,2,0.0039,0,3,33.33
Q0ykLG3Z4gM,Can't find FlashFX canvas fix | FlashFX canvas out of view,"Mar 20, 2026",20,1,0.0055,0,14,7.14
H2KzO52VAsc,How to export as an image to flashfx,"Mar 19, 2026",26,1,0.0015,,9,0
7zYDaMDK_Fg,How to Create a project in FlashFX | FlashFX tutorial 1,"Mar 19, 2026",21,1,0.0071,0,16,6.25
gKNfcOJxeic,FlashFX showcase features | basic,"Mar 30, 2026",263,1,0.0008,0,30,0
YNKLKXWGndA,how to change background in FlashFX editor,"Sep 17, 2026",156,1,0.0003,0,59,0
ZTZZzAIHKTs,how to reorder layers in flashfx,"Apr 1, 2026",26,1,0.0029,0,8,0
NUg88z1XQwQ,FlashFX Tutorial for Beginners | Professional Motion Graphics Without Timelines,"Jan 19, 2026",679,,,,1,0
u5yqkvzoZG8,how to use shape proprieties transform in flashfx,"Sep 18, 2026",59,,,,7,0
vwIkwr37oKI,Why Your Shapes Look Boring (And How to Fix It),"Sep 19, 2026",102,,,,10,0
xHR6zQq0cLI,how to create premium background colors in flashfx | flashfx tutorial,"Mar 28, 2026",60,,,,17,0
YyXfXcJ_Xpk,how to create shapes in flashfx easily. | FlashFX tutorial,"Mar 31, 2026",28,,,,10,0
iZ6enXKenyM,how to get advanced shapes in flashfx | flashfx tutorial,"Mar 29, 2026",37,,,,14,0
lB6edOK4y2E,How to use masks in FlashFX | FlashFX tutorial,"Sep 21, 2026",120,,,,2,0
XlKKk0TA0w8,how to lock and unlock layers in flashfx,"Apr 1, 2026",17,,,,12,0
